NOC,Gold-2012,Silver-2012,Bronze-2012,Total-2012,Gold-2008,Silver-2008,Bronze-2008,Total-2008,Gold-2016,Silver-2016,Bronze-2016,Total-2016,Gold-2004,Silver-2004,Bronze-2004,Total-2004,GDP-2004,GDP-2008,GDP-2012,GDP-2016,pop-2004,pop-2008,pop-2012,pop-2016
Vietnam,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,3427.0,4783.0,6400,8316,84425,89572,89572,94349
Zimbabwe,0.0,0.0,0.0,0.0,1.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,1885.0,1465.0,2386,2667,11640,11652,11652,14230
Panama,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9647.0,14299.0,18596,27829,3156,3411,3411,3658
Nigeria,0.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,3109.0,4094.0,5000,5235,141190,160342,160342,181563
Austria,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,1.0,1.0,2.0,4.0,1.0,7.0,35147.0,42746.0,46478,52660,8315,8448,8448,8666
Kyrgyzstan,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2376.0,3048.0,3654,4728,5165,5411,5411,5665
Chile,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,14001.0,18262.0,21447,22752,15980,16760,16760,17509
Ecuador,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7143.0,8892.0,10280,11009,13663,14791,14791,15869
Iceland,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33990.0,43576.0,42154,53943,297,318,318,332
Samoa,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3723.0,4576.0,4787,5524,185,193,193,198
Sudan,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3524.0,4382.0,3929,5569,29884,32997,32997,36109
Israel,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,2.0,22143.0,27761.0,31860,37864,6726,7369,7369,8050
Mauritius,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11134.0,14367.0,16964,20701,1243,1295,1295,1340
Moldova,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4413.0,6200.0,7329,10527,3949,3732,3732,3547
Togo,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1420.0,1429.0,1656,1954,5715,6588,6588,7553
Ivory Coast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3164.0,3424.0,3563,4629,18921,21059,21059,23296
Fiji,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7756.0,8472.0,9660,12563,837,876,876,910
Jordan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7475.0,9673.0,9301,9544,5363,6501,6501,8118
Kosovo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5890.0,7373.0,8438,10028,1768,1816,1816,1871
Burundi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,521.0,629.0,685,794,7789,9121,9121,10743
Niger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,839.0,1016.0,1156,1148,12783,15271,15271,18046
Philippines,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4174.0,5298.0,6360,7789,84965,93137,93137,100999
United Arab Emirates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,110145.0,70074.0,74088,65651,4087,4976,4976,5780
Serbia and Montenegro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,8931.0,13108.0,13932,16049,8203,8012,8012,7825
Paraguay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7288.0,9120.0,9957,11907,5926,6376,6376,6784
Eritrea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1279.0,1049.0,1669,1701,5070,5793,5793,6528
Syria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4816.0,5938.0,6374,6374,18615,21766,21766,17065
