Country (or dependent territory),1985,%,1990,%.1,1995,%.2,2000,%.3,2005,%.4,2010,%.5,2015,%.6
Qatar,343000,8370.0,434000,4830.0,510000,3300.0,640000,4650.0,973000,8730.0,1720000,12070.0,2195000,5000.0
Republic of the Congo,1927000,2830.0,2221000,2890.0,2570000,2950.0,2940000,2730.0,3473000,3390.0,4238000,4059.9999999999995,4756000,2330.0
Romania,22522000,350.0,22866000,300.0,22688000,-160.0,22448000,-210.0,22198000,-220.0,21960000,-220.0,21667000,-270.0
Russia,143938000,690.0,147973000,550.0,148759000,110.0,147054000,-230.0,143320000,-510.0,142527000,-110.0,142424000,-10.0
Rwanda,5987000,3100.0,7000000,3180.0,5473000,-4800.0,8399000,8940.0,9612000,2730.0,11056000,2840.0,12662000,2750.0
Saint Barthélemy,4000,6170.0,6000,5110.0,7000,4019.9999999999995,8000,2990.0,8000,1260.0,8000,-470.0,8000,-460.0
"Saint Helena, Ascension and Tristan da Cunha",8000,4190.0,7000,-3400.0,7000,780.0,8000,800.0,8000,680.0,8000,510.0,8000,320.0
Saint Kitts and Nevis,43000,-300.0,42000,-600.0,44000,700.0,46000,1140.0,48000,970.0,50000,820.0,52000,800.0
Saint Lucia,132000,1360.0,138000,980.0,147000,1270.0,154000,910.0,158000,530.0,161000,450.0,164000,370.0
Saint Martin,16000,15220.0,31000,14310.0,33000,1720.0,29000,-2800.0,28000,-340.0,31000,1620.0,32000,990.0
Saint Pierre and Miquelon,7000,560.0,7000,520.0,7000,260.0,7000,20.0,7000,-660.0,6000,-840.0,6000,-980.0
Saint Vincent and the Grenadines,104000,1140.0,108000,670.0,109000,260.0,108000,-170.0,107000,-330.0,105000,-350.0,103000,-310.0
Samoa,161000,210.0,163000,260.0,169000,730.0,177000,850.0,185000,920.0,193000,800.0,198000,590.0
San Marino,23000,1030.0,24000,770.0,25000,1180.0,28000,1710.0,30000,1800.0,32000,1230.0,34000,960.0
